ANO4,TRIMESTRE,PROVINCIA,label_provincia,term,estimate,std.error,statistic,p.value
2017,1er Trimestre,Buenos Aires,Buenos Aires,(Intercept),3.0293294464576057,0.05052345933859895,59.95886833788629,0
2017,1er Trimestre,Buenos Aires,Buenos Aires,anios_escolaridad,0.07325389920186838,0.0031794690425556702,23.039664239972154,4.426343694128337e-108
2017,1er Trimestre,Buenos Aires,Buenos Aires,experiencia,0.029144186422463778,0.0027022758336173193,10.78505238432703,1.2730732101248879e-26
2017,1er Trimestre,Buenos Aires,Buenos Aires,experiencia2,-4.068078497143776e-4,5.273290590245029e-5,-7.714497101049666,1.6534797036925198e-14
2017,1er Trimestre,Buenos Aires,Buenos Aires,sexo2,-0.09365116750916992,0.022416867760788023,-4.1777097723253815,3.0307167491755555e-5
2017,1er Trimestre,Santa Fe,Santa Fe,(Intercept),2.905323779627501,0.07869566100538072,36.91847482453769,5.598417748313225e-194
2017,1er Trimestre,Santa Fe,Santa Fe,anios_escolaridad,0.07677647928897877,0.004986593843226244,15.396577644532133,1.5643971959052415e-48
2017,1er Trimestre,Santa Fe,Santa Fe,experiencia,0.030935832837303834,0.0044090868638861774,7.016380895257965,4.000341303934813e-12
2017,1er Trimestre,Santa Fe,Santa Fe,experiencia2,-3.998403110114768e-4,8.877861039208263e-5,-4.503791051083347,7.396732443228702e-6
2017,1er Trimestre,Santa Fe,Santa Fe,sexo2,-0.1262786597094057,0.03306194955626526,-3.8194559426842933,1.4132001184262953e-4
2017,1er Trimestre,Entre Ríos,Entre Ríos,(Intercept),2.758043884062108,0.09893229702323873,27.8780940809881,1.0897637022337695e-110
2017,1er Trimestre,Entre Ríos,Entre Ríos,anios_escolaridad,0.08803366014567188,0.0063490011743585276,13.865749545174147,3.6062418211510505e-38
2017,1er Trimestre,Entre Ríos,Entre Ríos,experiencia,0.02963229618693907,0.005243421975997915,5.651327763163582,2.4522223990632194e-8
2017,1er Trimestre,Entre Ríos,Entre Ríos,experiencia2,-3.375481730439513e-4,1.0402615077428028e-4,-3.2448395959240632,0.0012398710107249225
2017,1er Trimestre,Entre Ríos,Entre Ríos,sexo2,-0.10649845174815681,0.041929196467820444,-2.5399592818310164,0.011335124327468839
2017,1er Trimestre,Misiones,Misiones,(Intercept),2.673076021576629,0.1450976759205796,18.422597085840017,1.2909846348784046e-50
2017,1er Trimestre,Misiones,Misiones,anios_escolaridad,0.0820998673846856,0.009190055348357234,8.933555269540497,5.028130186326059e-17
2017,1er Trimestre,Misiones,Misiones,experiencia,0.031534493892146485,0.00825495594158305,3.8200681039733233,0.00016344271187894482
2017,1er Trimestre,Misiones,Misiones,experiencia2,-4.4546117468164374e-4,1.6981049848669932e-4,-2.623284064598251,0.00917255787092587
2017,1er Trimestre,Misiones,Misiones,sexo2,-0.08094714318286307,0.06455522574157348,-1.2539208445635288,0.21088762177506434
2017,1er Trimestre,Chaco,Chaco,(Intercept),2.321066496523218,0.13553595139745248,17.12509834174407,1.0773691103679893e-46
2017,1er Trimestre,Chaco,Chaco,anios_escolaridad,0.093944310550074,0.008333808139956236,11.27267498511999,6.422262066850438e-25
2017,1er Trimestre,Chaco,Chaco,experiencia,0.023489340665827613,0.007876463220004928,2.9822193044929772,0.0030893979836627374
2017,1er Trimestre,Chaco,Chaco,experiencia2,-6.692918656538555e-5,1.606669504724809e-4,-0.4165709647725542,0.6772814651095551
2017,1er Trimestre,Chaco,Chaco,sexo2,-0.12188139789547184,0.05569291426536747,-2.188454303445628,0.029384900486311236
2017,1er Trimestre,Chubut,Chubut,(Intercept),2.9782882206624004,0.10878921293078836,27.376686901459482,9.959633162904877e-109
2017,1er Trimestre,Chubut,Chubut,anios_escolaridad,0.08883059653825462,0.00645912392006407,13.752731428842672,9.562275536670303e-38
2017,1er Trimestre,Chubut,Chubut,experiencia,0.04460848024708753,0.006079173868125205,7.337918147230854,6.841492847340916e-13
2017,1er Trimestre,Chubut,Chubut,experiencia2,-5.630795306178391e-4,1.1875835800587819e-4,-4.741388648956971,2.6365637976921e-6
2017,1er Trimestre,Chubut,Chubut,sexo2,-0.23632435546188107,0.045160807455818824,-5.232952393357428,2.2871586094678737e-7
2017,1er Trimestre,Mendoza,Mendoza,(Intercept),2.4801607295463066,0.11571328989801746,21.433672240519364,1.911799846207529e-70
2017,1er Trimestre,Mendoza,Mendoza,anios_escolaridad,0.09121116610429476,0.007353956660299141,12.4030056631561,1.5736232471313083e-30
2017,1er Trimestre,Mendoza,Mendoza,experiencia,0.03279154398980157,0.006343186315179186,5.169569733641863,3.558166589242989e-7
2017,1er Trimestre,Mendoza,Mendoza,experiencia2,-3.328194423851449e-4,1.2557562617465288e-4,-2.6503506494345768,0.008328689255068552
2017,1er Trimestre,Mendoza,Mendoza,sexo2,-0.08803895270340753,0.05192407383715217,-1.6955324610992835,0.0906770945036701
2017,1er Trimestre,Corrientes,Corrientes,(Intercept),2.6002540382931496,0.18092608361355786,14.371913581278102,1.5213996194669554e-35
2017,1er Trimestre,Corrientes,Corrientes,anios_escolaridad,0.0633271509592583,0.011456730976835834,5.527506152260917,7.377018743752768e-8
2017,1er Trimestre,Corrientes,Corrientes,experiencia,0.030615491124000516,0.011040298647640922,2.773067296557453,0.005921899112484006
2017,1er Trimestre,Corrientes,Corrientes,experiencia2,-3.0657912118367634e-4,2.3445153115647573e-4,-1.3076439282414487,0.19205539610040143
2017,1er Trimestre,Corrientes,Corrientes,sexo2,-0.1959161248619964,0.0743602359205022,-2.634689393286062,0.008885286425403373
