AGLOMERADO,term,estimate,std.error,statistic,p.value
2,(Intercept),4.009095105725257,0.06921732482962344,57.92039948948527,0
2,anios_escolaridad,0.10601259778577703,0.004247119501283225,24.96105837232656,7.368465879174491e-133
2,experiencia,0.023713614302930692,0.0037848696476777913,6.265371468600033,3.896650365858524e-10
2,experiencia2,-1.2716068404832183e-4,7.697680476668592e-5,-1.6519350788038234,0.09858401948240841
2,sexo2,0.005571739122846433,0.029799471592091953,0.18697442689973856,0.8516850611460963
3,(Intercept),4.3795046470570504,0.07587567770496825,57.719479805981166,0
3,anios_escolaridad,0.09355071949529727,0.00460048223893717,20.33498112513307,1.654592917873406e-89
3,experiencia,0.02501681144903431,0.004012931835250889,6.2340484404142025,4.793523803130877e-10
3,experiencia2,-3.1614163339541287e-4,7.995117237249859e-5,-3.9541838351348364,7.750872754446348e-5
3,sexo2,-0.20940920070463778,0.03138928808245503,-6.671358718125454,2.7162432079689457e-11
4,(Intercept),4.197383053146063,0.05472006706421356,76.70646763317134,0
4,anios_escolaridad,0.09768066308263473,0.003386485825727531,28.844255700272907,8.620042349434852e-178
4,experiencia,0.02994802333631165,0.0029457271273923163,10.166597936999997,3.3892949808021014e-24
4,experiencia2,-3.5563948546766985e-4,5.8540355635005255e-5,-6.075116585984811,1.2709620209648837e-9
4,sexo2,-0.1282654885986947,0.02305359941436865,-5.5637944554007674,2.6879482201688918e-8
5,(Intercept),4.141141143891052,0.06095745916838115,67.93493692793345,0
5,anios_escolaridad,0.0919853845447809,0.003772333181582811,24.384215316364315,5.952525739949141e-128
5,experiencia,0.013200266847759016,0.003369422752829398,3.9176641864468875,8.995104405669568e-5
5,experiencia2,2.7002990309875875e-5,6.80462686221862e-5,0.39683278534793404,0.6914984568761212
5,sexo2,-0.04628561556923064,0.024163170121933898,-1.9155440008765774,0.05544901414440913
6,(Intercept),3.668134168881895,0.06713648096785273,54.636974056449645,0
6,anios_escolaridad,0.11173807762056237,0.0040846367789265,27.355694929116492,2.346200804029196e-159
6,experiencia,0.036391759582359885,0.0036886222609404332,9.865949128952451,7.307336364181326e-23
6,experiencia2,-3.5353118278954254e-4,7.424968831309291e-5,-4.761382718521152,1.947734770479135e-6
6,sexo2,-0.05114562053133953,0.0260485191096851,-1.963475171696923,0.049616643207746815
7,(Intercept),3.6821251315160097,0.06044795363452909,60.91397491763403,0
7,anios_escolaridad,0.10250169091432201,0.003808989203113352,26.910470323869713,4.4280636255849464e-154
7,experiencia,0.035347307880024964,0.003376593375742536,10.468334189707356,1.6336105530380422e-25
7,experiencia2,-3.775444688123743e-4,6.923915229554384e-5,-5.452759837394379,5.0769527066341164e-8
7,sexo2,-0.0867390634297093,0.026164335521392686,-3.3151640086096985,9.191399830742019e-4
8,(Intercept),3.925645657652046,0.05898454848691168,66.55379685619062,0
8,anios_escolaridad,0.07897204284587081,0.003864713542660438,20.434125834720234,4.5523595292640654e-91
8,experiencia,0.026700291063769012,0.0033248254368320827,8.030584333236225,1.0722215937670725e-15
8,experiencia2,-2.0573784280060632e-4,6.753736879792895e-5,-3.046281583994953,0.002322568170680138
8,sexo2,0.03420445781476913,0.02467591047741331,1.3861477511063927,0.16573077093466768
9,(Intercept),4.341806097142759,0.07084220816735548,61.28840714402645,0
9,anios_escolaridad,0.08500725157509385,0.004402051472304493,19.31082635219442,2.0115153163379315e-81
9,experiencia,0.05399344446555788,0.003692515101415706,14.622403154114888,7.268554721935446e-48
9,experiencia2,-7.402583423981739e-4,7.322536773306411e-5,-10.109315464235195,6.765780857744085e-24
9,sexo2,-0.2870419728187999,0.027539217810509,-10.423025620911583,2.723811277225268e-25
10,(Intercept),3.7542347161211036,0.04584475732903078,81.89016443421696,0
10,anios_escolaridad,0.10300752505869244,0.0028877145295060362,35.670951545308256,1.2398680907220754e-268
10,experiencia,0.03727772251155677,0.0024586379213467793,15.16194075910819,1.3941529260349954e-51
10,experiencia2,-4.58527220626621e-4,4.83444353719564e-5,-9.48459149638974,2.753225881975219e-21
10,sexo2,-0.09539494197815374,0.02013274342535743,-4.738298202221296,2.1729683970825944e-6
12,(Intercept),3.706593199326237,0.06665439940957184,55.60913056241499,0
12,anios_escolaridad,0.10686773183075024,0.004234281101199981,25.23869560773003,2.601515662900497e-136
12,experiencia,0.02744062130831984,0.0036582428332117612,7.501038766261532,6.869495055610449e-14
12,experiencia2,-2.2936178506257729e-4,7.315472552003202e-5,-3.1352969125661057,0.0017217709886555145
12,sexo2,-0.15932392611581755,0.027638121930287037,-5.764643723538377,8.42520031389377e-9
13,(Intercept),4.33459176017804,0.041055152553584245,105.57972606533687,0
13,anios_escolaridad,0.08020735724077789,0.002392073469194719,33.530473989906064,6.458146869721646e-240
13,experiencia,0.03355321256048987,0.0024518459041129054,13.684878198994994,1.934346987854012e-42
13,experiencia2,-4.704809242905035e-4,4.980329260183536e-5,-9.446783529994265,3.863745426969169e-21
13,sexo2,-0.12734105998458084,0.019648656120171297,-6.480904302348321,9.328254386626496e-11
14,(Intercept),4.027227801377375,0.059047621625703386,68.2030484971189,0
14,anios_escolaridad,0.08724587512317393,0.0037351982803116328,23.35776271451241,1.6298103608654916e-117
14,experiencia,0.031827642887400955,0.0033367076933167924,9.538636827897644,1.7884263202655225e-21
14,experiencia2,-3.3807836094556707e-4,6.573333635285867e-5,-5.1431796969919725,2.7527989474473985e-7
14,sexo2,-0.11658049164640058,0.026297609057137208,-4.433121330273958,9.387597723026863e-6
15,(Intercept),4.074980420833083,0.06030517396578481,67.57265012028809,0
