ANO4,TRIMESTRE,PROVINCIA,label_provincia,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2024,4,Entre Ríos,Entre Ríos,194431,9127,203558,452792,0.4495618297143059,0.4294046714606265,0.04483734365635347
2024,4,Formosa,Formosa,105489,1833,107322,264097,0.40637341582827524,0.3994327841664237,0.017079443171018057
2024,4,Jujuy,Jujuy,162653,6607,169260,360952,0.4689266162813892,0.4506222434007846,0.03903462129268581
2024,4,La Pampa,La Pampa,63041,4510,67551,132893,0.508311197730505,0.47437412053306044,0.06676437062367692
2024,4,La Rioja,La Rioja,108675,4829,113504,237795,0.4773186988792868,0.45701129123825146,0.04254475613194249
2024,4,Mendoza,Mendoza,490470,24785,515255,1059615,0.4862662382091609,0.4628756671055053,0.0481023959010587
2024,4,Misiones,Misiones,175178,8163,183341,391057,0.4688344665867124,0.4479602717762372,0.04452359264976192
2024,4,Neuquén,Neuquén,154018,6199,160217,324293,0.49405013367541084,0.47493470411017197,0.038691274958337754
2024,4,Río Negro,Río Negro,32334,409,32743,86249,0.3796333870537629,0.374891303087572,0.012491219497297132
2024,4,Salta,Salta,292691,21079,313770,668562,0.4693207211896578,0.4377918577484212,0.06717978136851833
2024,4,San Juan,San Juan,246100,8230,254330,556342,0.4571468629008775,0.44235380395512114,0.03235953289033932
2024,4,San Luis,San Luis,116535,3440,119975,251028,0.4779347323804516,0.46423108179167266,0.028672640133361117
2024,4,Santa Cruz,Santa Cruz,56054,3620,59674,132136,0.4516104619482957,0.4242144457225889,0.06066293528169722
2024,4,Santa Fe,Santa Fe,870767,53445,924212,1908671,0.4842175524226019,0.45621639350102766,0.057827641277109584
2024,4,Santiago del Estero,Santiago del Estero,176428,2766,179194,417643,0.42906022607825345,0.4224373448136327,0.015435784680290636
2024,4,Tierra del Fuego,Tierra del Fuego,83886,6170,90056,179784,0.5009122057580208,0.4665932452276065,0.06851292529093009
2024,4,Tucumán,Tucumán,417861,25452,443313,925713,0.4788881651224516,0.4513936824912257,0.057413159550926775
2024,3,Buenos Aires,Buenos Aires,6683721,615105,7298826,15140201,0.482082503396091,0.44145523563392586,0.08427451209276669
2024,3,Catamarca,Catamarca,93777,2207,95984,232829,0.4122510512006666,0.40277199146154474,0.022993415569261544
2024,3,Chaco,Chaco,171117,20922,192039,425085,0.45176611736476235,0.40254772574896786,0.10894662021776827
2024,3,Chubut,Chubut,160072,5978,166050,406943,0.408042403973038,0.3933523859606874,0.03600120445648901
2024,3,Ciudad Autónoma de Buenos Aires,CABA,1576418,73169,1649587,3005583,0.5488409403433544,0.5244965785340149,0.04435595091377417
2024,3,Corrientes,Corrientes,166827,6482,173309,391939,0.4421836051018143,0.4256453172560016,0.0374014044279293
2024,3,Córdoba,Córdoba,815299,75323,890622,1785310,0.49886126218975974,0.4566708302759745,0.08457347786153946
2024,3,Entre Ríos,Entre Ríos,190896,10021,200917,452162,0.44434737992135565,0.4221849691039937,0.04987631708615996
2024,3,Formosa,Formosa,103800,2434,106234,263475,0.40320333997532976,0.39396527184742386,0.022911685524408382
2024,3,Jujuy,Jujuy,160829,6852,167681,360201,0.4655206398649643,0.44649792754600903,0.040863305920169846
2024,3,La Pampa,La Pampa,57982,4338,62320,132642,0.46983610017943034,0.4371315269673256,0.06960847240051347
2024,3,La Rioja,La Rioja,104145,3522,107667,236931,0.4544234397356192,0.43955835243172064,0.03271197302794728
2024,3,Mendoza,Mendoza,487089,25599,512688,1057747,0.4846981366999859,0.46049669722532893,0.04993095215803764
2024,3,Misiones,Misiones,172830,6144,178974,389986,0.45892416650854134,0.44316975481171117,0.034329008682825436
2024,3,Neuquén,Neuquén,142535,8812,151347,323360,0.46804490351311234,0.44079354280059374,0.058223816791875625
2024,3,Río Negro,Río Negro,34375,421,34796,86040,0.40441655044165503,0.39952347745234773,0.012099091849637889
2024,3,Salta,Salta,289779,16034,305813,666771,0.45864772163156464,0.4346004850240937,0.05243073381445524
2024,3,San Juan,San Juan,241792,12668,254460,555242,0.45828665698920473,0.43547138004689845,0.04978385600880295
2024,3,San Luis,San Luis,108169,4623,112792,250191,0.450823570791915,0.43234568789444866,0.04098694942903752
2024,3,Santa Cruz,Santa Cruz,56393,4335,60728,131576,0.4615431385663039,0.42859640055937254,0.07138387564220788
2024,3,Santa Fe,Santa Fe,877634,56065,933699,1905749,0.4899380768401295,0.46051919743890724,0.06004611764605081
2024,3,Santiago del Estero,Santiago del Estero,175818,1672,177490,416829,0.4258101043833323,0.42179886716135395,0.00942024902811426
2024,3,Tierra del Fuego,Tierra del Fuego,83744,7427,91171,178993,0.5093551144458163,0.46786187169330645,0.08146230709326431
2024,3,Tucumán,Tucumán,412999,24181,437180,924360,0.4729542602449262,0.44679453892422866,0.05531131341781417
