ANO4,TRIMESTRE,AGLOMERADO,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2024,4to Trimestre,Jujuy - Palpala,162653,6607,169260,360952,0.4689266162813892,0.4506222434007846,0.03903462129268581
2024,4to Trimestre,Rio Gallegos,56054,3620,59674,132136,0.4516104619482957,0.4242144457225889,0.06066293528169722
2024,4to Trimestre,Gran Catamarca,100837,4916,105753,233392,0.4531132172482347,0.43204994172893674,0.04648567889327017
2024,4to Trimestre,Salta,292691,21079,313770,668562,0.4693207211896578,0.4377918577484212,0.06717978136851833
2024,4to Trimestre,La Rioja,108675,4829,113504,237795,0.4773186988792868,0.45701129123825146,0.04254475613194249
2024,4to Trimestre,San Luis - El Chorrillo,116535,3440,119975,251028,0.4779347323804516,0.46423108179167266,0.028672640133361117
2024,4to Trimestre,Gran San Juan,246100,8230,254330,556342,0.4571468629008775,0.44235380395512114,0.03235953289033932
2024,4to Trimestre,Gran Tucuman - T. Viejo,417861,25452,443313,925713,0.4788881651224516,0.4513936824912257,0.057413159550926775
2024,4to Trimestre,Santa Rosa - Toay,63041,4510,67551,132893,0.508311197730505,0.47437412053306044,0.06676437062367692
2024,4to Trimestre,Ushuaia - Rio Grande,83886,6170,90056,179784,0.5009122057580208,0.4665932452276065,0.06851292529093009
2024,4to Trimestre,Ciudad de Buenos Aires,1591568,61117,1652685,3005638,0.5498616267161913,0.5295275079700217,0.03698042881734874
2024,4to Trimestre,Partidos del GBA,5854399,506831,6361230,13054810,0.4872709752190955,0.4484476602876641,0.07967499996069942
2024,4to Trimestre,Mar del Plata - Batan,310877,29283,340160,666391,0.5104510715180727,0.4665084012239061,0.08608595954844779
2024,4to Trimestre,Rio Cuarto,81284,4487,85771,183391,0.467694706937636,0.4432278574193935,0.05231371908920265
2024,4to Trimestre,San Nicolas - Villa Constitucion,79263,6859,86122,199575,0.4315269948640862,0.3971589627959414,0.07964283226121084
2024,4to Trimestre,Rawson - Trelew,63160,1967,65127,152233,0.42781131554919105,0.41489033258229163,0.030202527369600933
2024,4to Trimestre,Viedma - Carmen de Patagones.,32334,409,32743,86249,0.3796333870537629,0.374891303087572,0.012491219497297132
2024,3er Trimestre,Gran La Plata,423403,45319,468722,935263,0.5011659821889671,0.45271009331065165,0.0966863087288414
2024,3er Trimestre,Bahia Blanca - Cerri,146102,10002,156104,321461,0.48560789644778063,0.4544937021909345,0.06407266950238302
2024,3er Trimestre,Gran Rosario,646275,39499,685774,1354504,0.506291601944328,0.47713037392285296,0.05759769253427514
2024,3er Trimestre,Gran Santa Fe,231359,16566,247925,551245,0.4497546463006467,0.41970267304011827,0.0668185943329636
2024,3er Trimestre,Gran Parana,124573,6592,131165,286749,0.45742095002946825,0.43443220377403235,0.05025730949567339
2024,3er Trimestre,Posadas,172830,6144,178974,389986,0.45892416650854134,0.44316975481171117,0.034329008682825436
2024,3er Trimestre,Gran Resistencia,171117,20922,192039,425085,0.45176611736476235,0.40254772574896786,0.10894662021776827
2024,3er Trimestre,Cdro. Rivadavia - R.Tilly,98006,2748,100754,255047,0.3950409140276106,0.3842664293247911,0.027274351390515515
2024,3er Trimestre,Gran Mendoza,487089,25599,512688,1057747,0.4846981366999859,0.46049669722532893,0.04993095215803764
2024,3er Trimestre,Corrientes,166827,6482,173309,391939,0.4421836051018143,0.4256453172560016,0.0374014044279293
2024,3er Trimestre,Gran Cordoba,733076,70295,803371,1602247,0.5014027175585287,0.45752995636752636,0.08750004667830927
2024,3er Trimestre,Concordia,66323,3429,69752,165413,0.42168390634351594,0.40095397580601283,0.049159880720266086
2024,3er Trimestre,Formosa,103800,2434,106234,263475,0.40320333997532976,0.39396527184742386,0.022911685524408382
2024,3er Trimestre,Neuquen - Plottier,142535,8812,151347,323360,0.46804490351311234,0.44079354280059374,0.058223816791875625
2024,3er Trimestre,S. del Estero - La Banda,175818,1672,177490,416829,0.4258101043833323,0.42179886716135395,0.00942024902811426
2024,3er Trimestre,Jujuy - Palpala,160829,6852,167681,360201,0.4655206398649643,0.44649792754600903,0.040863305920169846
2024,3er Trimestre,Rio Gallegos,56393,4335,60728,131576,0.4615431385663039,0.42859640055937254,0.07138387564220788
2024,3er Trimestre,Gran Catamarca,93777,2207,95984,232829,0.4122510512006666,0.40277199146154474,0.022993415569261544
2024,3er Trimestre,Salta,289779,16034,305813,666771,0.45864772163156464,0.4346004850240937,0.05243073381445524
2024,3er Trimestre,La Rioja,104145,3522,107667,236931,0.4544234397356192,0.43955835243172064,0.03271197302794728
2024,3er Trimestre,San Luis - El Chorrillo,108169,4623,112792,250191,0.450823570791915,0.43234568789444866,0.04098694942903752
2024,3er Trimestre,Gran San Juan,241792,12668,254460,555242,0.45828665698920473,0.43547138004689845,0.04978385600880295
2024,3er Trimestre,Gran Tucuman - T. Viejo,412999,24181,437180,924360,0.4729542602449262,0.44679453892422866,0.05531131341781417
2024,3er Trimestre,Santa Rosa - Toay,57982,4338,62320,132642,0.46983610017943034,0.4371315269673256,0.06960847240051347
2024,3er Trimestre,Ushuaia - Rio Grande,83744,7427,91171,178993,0.5093551144458163,0.46786187169330645,0.08146230709326431
2024,3er Trimestre,Ciudad de Buenos Aires,1576418,73169,1649587,3005583,0.5488409403433544,0.5244965785340149,0.04435595091377417
2024,3er Trimestre,Partidos del GBA,5729369,525676,6255045,13019096,0.48045156130656075,0.44007425707591374,0.08404032265155567
2024,3er Trimestre,Mar del Plata - Batan,306791,28088,334879,665151,0.5034631234110751,0.4612351180408659,0.08387507129440783
2024,3er Trimestre,Rio Cuarto,82223,5028,87251,183063,0.47661733938589446,0.44915138504230784,0.05762684668370563
2024,3er Trimestre,San Nicolas - Villa Constitucion,78056,6020,84076,199230,0.422004718164935,0.39178838528334087,0.0716018840097055
2024,3er Trimestre,Rawson - Trelew,62066,3230,65296,151896,0.4298730710486122,0.40860852162005584,0.049467042391570695
2024,3er Trimestre,Viedma - Carmen de Patagones.,34375,421,34796,86040,0.40441655044165503,0.39952347745234773,0.012099091849637889
2024,2do Trimestre,Gran La Plata,429688,46964,476652,932849,0.5109637251044917,0.46061902837436713,0.09852890578451365
2024,2do Trimestre,Bahia Blanca - Cerri,149668,12108,161776,321067,0.5038699087729352,0.46615815390557114,0.07484422905746217
2024,2do Trimestre,Gran Rosario,637873,49767,687640,1352564,0.5083973845230244,0.4716028224912093,0.0723736257343959
2024,2do Trimestre,Gran Santa Fe,229727,20357,250084,550236,0.4545031586446543,0.41750630638489666,0.08140064938180772
2024,2do Trimestre,Gran Parana,126848,4873,131721,286360,0.45998393630395307,0.44296689481771195,0.03699486034876747
2024,2do Trimestre,Posadas,172965,11563,184528,388912,0.4744723742131896,0.44474071255193975,0.06266257695309113
2024,2do Trimestre,Gran Resistencia,168637,20907,189544,424451,0.4465627363347006,0.39730616726076745,0.11030156586333516
2024,2do Trimestre,Cdro. Rivadavia - R.Tilly,100675,3720,104395,253922,0.4111301895857783,0.3964800214239018,0.0356338905119977
