ANO4,TRIMESTRE,PROVINCIA,label_provincia,total_indigentes,total_pobres_no_ind,total_poblacion,tasa_pobreza,tasa_indigencia
2024,3,Mendoza,Mendoza,103235,339065,1057768,0.41814462150490467,0.09759701560266523
2024,3,Misiones,Misiones,44862,137802,389958,0.4684196759651039,0.11504315849399166
2024,3,Neuquén,Neuquén,15194,90106,323376,0.325627133739053,0.04698555242194844
2024,3,Río Negro,Río Negro,4180,27447,86023,0.36765748695116424,0.04859165571998186
2024,3,Salta,Salta,54378,229213,666771,0.42531993742979224,0.08155423676194676
2024,3,San Juan,San Juan,51612,166501,555243,0.39282440300913296,0.09295389586181185
2024,3,San Luis,San Luis,17391,94478,250194,0.4471290278743695,0.06951006019329001
2024,3,Santa Cruz,Santa Cruz,6829,35382,131551,0.32087175316037125,0.05191142598687961
2024,3,Santa Fe,Santa Fe,225234,470226,1905714,0.364934087696265,0.11818877334164518
2024,3,Santiago del Estero,Santiago del Estero,59929,144541,416857,0.49050393780121243,0.14376392863739842
2024,3,Tierra del Fuego,Tierra del Fuego,12806,50178,178971,0.35192293723564155,0.07155349190650999
2024,3,Tucumán,Tucumán,57434,272218,924341,0.356634618609366,0.06213507785546676
2024,2,Buenos Aires,Buenos Aires,2834697,5584925,15100461,0.557573838308645,0.18772254701363092
2024,2,Catamarca,Catamarca,40287,90196,232244,0.5618358278362412,0.17346842114328034
2024,2,Chaco,Chaco,165507,147213,424460,0.7367478678791877,0.3899236677189841
2024,2,Chubut,Chubut,36109,188175,405373,0.5532780920288228,0.08907598680721213
2024,2,Ciudad Autónoma de Buenos Aires,CABA,205055,405473,3005473,0.20313874055764267,0.06822719751599832
2024,2,Corrientes,Corrientes,48821,143602,391298,0.49175564403600325,0.1247668017725621
2024,2,Córdoba,Córdoba,196582,692557,1782634,0.4987782124653743,0.11027614193379011
2024,2,Entre Ríos,Entre Ríos,70010,163696,451513,0.5176063590638587,0.15505644355754983
2024,2,Formosa,Formosa,45144,132058,262827,0.6742153583916416,0.17176317501626545
2024,2,Jujuy,Jujuy,51212,157592,359345,0.5810683326608134,0.1425148534138502
2024,2,La Pampa,La Pampa,24263,32463,132307,0.42874526669034896,0.18338409910284414
2024,2,La Rioja,La Rioja,37141,117304,236056,0.6542727149489952,0.15733978378011998
2024,2,Mendoza,Mendoza,141907,419455,1055814,0.5316864523486144,0.13440530244910562
2024,2,Misiones,Misiones,66095,155393,388900,0.5695242993057341,0.16995371560812547
2024,2,Neuquén,Neuquén,32931,107263,322410,0.43483142582426104,0.10214013212989671
2024,2,Río Negro,Río Negro,7271,41310,85832,0.5660010252586448,0.0847119955261441
2024,2,Salta,Salta,93869,255222,664954,0.5249851869452624,0.14116615585438994
2024,2,San Juan,San Juan,54200,201059,554122,0.46065487383644754,0.09781239510432721
2024,2,San Luis,San Luis,26146,116976,249338,0.5740079731128027,0.10486167371198934
2024,2,Santa Cruz,Santa Cruz,10357,60943,131041,0.5441045169069223,0.07903633214032249
2024,2,Santa Fe,Santa Fe,256422,663551,1902769,0.4834916902682354,0.13476254868562607
